track_id,song_id,title,artist_name,tempo,loudness,duration,danceability,energy,key,mode,time_signature
TRARRZU128F4253CA2,SOGSMXL12A81C23D88,Je Sais Que La Terre Est Plate,Raphaël,124.059,-9.636,148.74077,0.0,0.0,0,1,4
TRARRJL128F92DED0E,SOMBCOW12AAF3B229F,On Efface,Julie Zenatti,80.084,-11.061,252.99546,0.0,0.0,1,0,4
TRARRUZ128F9307C57,SOEYIHF12AB017B5F4,Howells Delight,The Baltimore Consort,54.874,-24.14,78.0273,0.0,0.0,3,1,4
TRARRWA128F42A0195,SODJYEC12A8C13D757,Martha Served,I Hate Sally,77.15,-5.795,163.63057,0.0,0.0,7,1,3
TRARRPG12903CD1DE9,SOGSOUE12A58A76443,Zip-A-Dee-Doo-Dah (Song of the South),Orlando Pops Orchestra,120.382,-16.477,199.99302,0.0,0.0,10,1,4
TRARRER128F9328521,SOVVDCO12AB0187AF7,Liquid Time (composition by John Goodsall),Brand X,99.024,-12.474,279.35302,0.0,0.0,9,1,4
TRARRYC128F428CCDA,SOKSZVC12A8C142004,Misery Path (From the Privilege of Evil),Amorphis,175.673,-4.393,255.03302,0.0,0.0,9,1,4
TRARROY128F42281F7,SORWTIF12A6D4FAA41,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),Inoki,87.999,-5.05,259.3171,0.0,0.0,1,1,4
TRARREF128F422FD96,SOZQSGL12AF72A9145,Halloween,Dead Kennedys,92.897,-4.264,216.842,0.0,0.0,10,1,4
TRARRVB128F92F47CA,SOKRHNY12AB01837DB,Parto em terras distantes,Brigada Victor Jara,86.981,-13.885,312.99873,0.0,0.0,4,0,5
TRARRQO128F427B5F5,SOBTEHX12A6D4FBF18,You Eclipsed By Me (Album Version),Atreyu,157.715,-4.707,218.90567,0.0,0.0,0,0,4
TRARRMK12903CDF793,SOXGDVW12AB01864E7,Shovel,Mistress,146.331,-4.523,580.70159,0.0,0.0,0,1,4
TRARUOP12903CF2384,SOKMPKV12A67AE241B,What Drives The Weak,Shadows Fall,84.992,-4.076,283.48036,0.0,0.0,0,0,4
TRARURM128F931A91B,SOMVPGP12AB01881FF,Life Force,Vanessa Daou,79.96,-19.293,229.66812,0.0,0.0,2,1,3
TRARUDQ128F934B0ED,SOGXENE12AB01854EB,The Dance Of Europe,Dave Brockie Experience,99.959,-3.312,135.8624,0.0,0.0,1,0,5
TRARUHU128F92FDC00,SOBHQIJ12A6D4FC7D3,Spoonie Is Back,Spoonie Gee,135.503,-6.619,393.63873,0.0,0.0,1,1,5
TRARUFE128F92F5D21,SODENZR12AAF3B13B9,Blood Round Dance Song (World),R. Carlos Nakai,104.989,-25.651,146.33751,0.0,0.0,1,0,1
TRARUTP128E0797FC7,SOEKSGJ12A67AE227E,Crawling (Album Version),Linkin Park,105.095,-6.052,208.95302,0.0,0.0,4,1,4
TRARUYJ128F9316C65,SOVPBXO12AB0188671,Bennie,Koffi Olomidé,89.572,-7.164,625.78893,0.0,0.0,0,1,5
TRARITF12903CE7DA9,SOAMBCI12AC4685087,Playa del sous-sol,Alain-François,107.986,-5.704,172.01587,0.0,0.0,4,1,4
TRARIGL128F422B9CE,SOQNRHE12A8AE4849A,Fascinating Rhythm (Instrumental) (2007 Digital Remaster),Billy May & His Orchestra,103.532,-10.703,312.92036,0.0,0.0,8,1,1
TRARIRG128F147FC96,SOZKFHV12A6D4F996F,I'm Not Moving,Phil Collins,100.042,-15.433,154.93179,0.0,0.0,5,0,4
TRARIMG128F931B45A,SOSRIVF12AB017DF0E,Grand Frère,Philippe Sarde,137.658,-23.178,528.22159,0.0,0.0,0,0,4
TRARIPU128F92FA1E1,SOIDSPL12AB0182DF0,Up Above My Head,Sister Rosetta Tharpe & Marie,80.893,-7.386,146.80771,0.0,0.0,9,0,4
TRARIWH128E079349F,SOPVMQT12A679C8040,Columbia,Oasis,100.146,-7.588,324.80608,0.0,0.0,2,1,4
TRARIIY128F147187D,SOIAZJL12A6D4F854E,Radar For Love,Kiss,99.761,-8.021,241.08363,0.0,0.0,9,1,1
TRARIZK128F92FF27A,SOCPFDY12AB018300D,Antarctica Starts Here,John Cale,110.1,-20.172,199.96689,0.0,0.0,5,1,4
TRARINE128F4280B9C,SOVOTBC12A6D4F696A,Out In The Street (Live) (2008 Digital Remaster),UFO,131.5,-6.763,314.17424,0.0,0.0,2,1,4
TRARIMP128F933D217,SOOQCOC12A8C132A5A,Heavy On My Mind (Album Version),Back Door Slam,92.971,-4.325,319.84281,0.0,0.0,3,0,4
TRARIKA128F9335A8C,SOQYSAU12AB018263A,Everyone make love,Cool cavemen,93.715,-5.976,234.762,0.0,0.0,10,0,5
TRARNCP128F42AB2B0,SOKLGLN12A8C13D204,Calm Da Seas,Dave Hollister,117.936,-5.193,258.16771,0.0,0.0,11,1,4
TRARNJN12903CE49F8,SOMMPRY12A8C131C5C,Ran Kan Kan,Nestor Torres,78.843,-5.648,191.63383,0.0,0.0,7,1,7
TRARNAS128EF355915,SORDYIS12A6D4F64EC,I Found You,The Impressions,121.896,-16.489,207.35955,0.0,0.0,1,1,4
